epoch,objective_loss,entropy_loss,overall_loss
0,7.135323560874885,nan,7.135323560874885
1,6.589868857660368,nan,6.589868857660368
2,6.342628936731182,nan,6.342628936731182
3,6.178659497326569,nan,6.178659497326569
4,5.853514733205313,nan,5.853514733205313
5,5.276125001543352,nan,5.276125001543352
6,4.945418623567536,nan,4.945418623567536
7,4.727355295465195,nan,4.727355295465195
8,5.472880491773595,nan,5.472880491773595
9,4.867881387244654,nan,4.867881387244654
10,4.586747729141293,nan,4.586747729141293
11,4.223002529326286,nan,4.223002529326286
12,5.408387945808527,nan,5.408387945808527
13,4.667403249340206,nan,4.667403249340206
14,4.452381797419248,nan,4.452381797419248
15,4.147438666747729,nan,4.147438666747729
16,5.390864791760916,nan,5.390864791760916
17,4.626553877619386,nan,4.626553877619386
18,4.353764101749155,nan,4.353764101749155
19,4.046861785513752,nan,4.046861785513752
20,5.374071457913815,nan,5.374071457913815
21,4.691296817692184,nan,4.691296817692184
22,4.154097056570851,nan,4.154097056570851
23,3.9484928969208535,nan,3.9484928969208535
24,5.339326151454723,nan,5.339326151454723
25,4.62783355294293,nan,4.62783355294293
26,4.30001413640175,nan,4.30001413640175
27,3.9376338788571252,nan,3.9376338788571252
28,5.437372198541655,nan,5.437372198541655
29,4.550468604528269,nan,4.550468604528269
30,4.161931850527991,nan,4.161931850527991
31,3.797234609836841,nan,3.797234609836841
32,5.433504639691072,nan,5.433504639691072
33,4.600056927622732,nan,4.600056927622732
34,4.232743100355596,nan,4.232743100355596
35,3.8854889755940603,nan,3.8854889755940603
36,5.654939011763068,nan,5.654939011763068
37,4.6193656957786455,nan,4.6193656957786455
38,4.23543185041151,nan,4.23543185041151
39,3.9060310607648097,nan,3.9060310607648097
