epoch,mAP,train_loss
0,11.586210250854492,7.364504727018246
1,14.563616752624512,4.357814380496841
2,16.301218032836914,3.9524025877448827
3,21.53782081604004,3.746582399967104
4,28.394886016845703,3.6935481213255987
5,31.790292739868164,3.390661953691628
6,31.035306930541992,3.392487559207651
7,31.263721466064453,3.375238139565997
8,29.923141479492188,3.5854638949581146
9,36.217063903808594,3.326775667873333
10,36.95423889160156,3.235748313194095
11,38.402809143066406,3.152092637017717
12,10.367581367492676,6.498065053030498
13,9.598386764526367,4.143728232066888
14,9.444140434265137,4.104839618023843
15,9.701622009277344,4.098015804227406
16,16.897417068481445,4.041836965123684
17,17.68509292602539,3.784803834072377
18,20.0556583404541,3.7459913678343515
19,20.447673797607422,3.7454459932555393
20,10.076598167419434,5.707708058563182
21,9.727721214294434,4.107215342331564
22,9.6226167678833,4.097495226765
23,9.722824096679688,4.091211774816545
