epoch,mAP,train_loss
0,14.213399887084961,8.11331674560668
1,15.520400047302246,4.543345345391168
2,17.392271041870117,4.1502439805439515
3,18.85502815246582,4.032235881260462
4,24.06505012512207,4.170521035270083
5,26.20522689819336,3.8740652190314386
6,24.473901748657227,3.8643022949733443
7,25.434410095214844,3.7998323224839696
8,25.05550765991211,4.0529779759664395
9,27.50629997253418,3.8291244094333967
10,28.76959991455078,3.7930656054663268
11,29.52248764038086,3.746667620492361
12,25.485092163085938,4.035722153527396
13,27.55560874938965,3.7859073495107984
14,31.066822052001953,3.6824132003481425
15,34.483177185058594,3.614021904884822
16,25.103878021240234,3.985594624564761
17,29.95130729675293,3.719110655027726
18,31.63996696472168,3.6739365138704807
19,34.5230712890625,3.5354803986019574
20,29.768901824951172,3.9388015001539207
21,33.316349029541016,3.660187754555355
22,39.5093879699707,3.5244680605237484
23,42.9349479675293,3.434215198244369
24,27.137638092041016,3.9202678279271175
25,34.709346771240234,3.6125578293724656
26,40.880706787109375,3.514384913822961
27,42.17290115356445,3.3867999939691464
28,30.748197555541992,3.885336520179868
29,35.928741455078125,3.5687816525262503
30,39.659156799316406,3.5290677293898556
31,40.969966888427734,3.4178170930771583
32,32.011898040771484,4.025477749203882
33,38.70534133911133,3.6190126101175952
34,37.050315856933594,3.5788425839136524
35,40.550636291503906,3.5429266407376256
36,32.57742691040039,4.800826572236563
37,33.606929779052734,3.9701151545085627
38,34.966285705566406,3.8823882822006484
39,33.73683547973633,3.881349394813417
