epoch,mAP,train_loss
0,55.85615158081055,5.687201881408692
1,53.35251235961914,5.478632831573487
2,54.759090423583984,5.101588726043701
3,80.32408142089844,4.42006516456604
4,74.1178970336914,3.601483964920044
5,73.25809478759766,2.7854711532592775
6,84.30555725097656,2.172129273414612
7,97.3214340209961,1.551481556892395
8,61.52777862548828,3.2237516403198243
9,69.44775390625,1.969213891029358
10,59.09474563598633,1.0775165677070617
11,90.69196319580078,0.6972377181053162
12,79.11127471923828,3.3609666347503664
13,63.4920654296875,1.9706018924713136
14,81.03836059570312,1.3505564212799073
15,87.63888549804688,0.8567855536937714
16,64.72553253173828,3.266161584854126
17,68.56481170654297,2.164733338356018
18,100.0,1.3013726353645325
19,98.44658660888672,0.9237817764282227
20,63.37847137451172,3.6942636489868166
21,98.28588104248047,2.567965054512024
22,75.32539367675781,1.730634593963623
23,80.0,1.300537347793579
24,64.51141357421875,4.217852258682251
25,81.22437286376953,2.9683300495147704
26,91.17476654052734,1.957517886161804
27,98.8632583618164,1.5631943941116333
28,73.63888549804688,4.386077737808227
29,77.15608215332031,3.5855344772338866
30,88.65740966796875,2.5992793083190917
31,82.65625,2.0095592021942137
32,63.356475830078125,5.095289850234986
33,69.87846374511719,4.389609241485596
34,73.38095092773438,4.046727705001831
35,86.9618148803711,3.791664791107178
36,76.24420928955078,6.14142951965332
37,58.445770263671875,5.460904598236084
38,63.03125,5.580419635772705
39,62.86540603637695,5.362415981292725
