epoch,objective_loss,entropy_loss,overall_loss
0,8.646163250605264,nan,8.646163250605264
1,7.536727720896402,nan,7.536727720896402
2,7.156591426531469,nan,7.156591426531469
3,6.645310230255127,nan,6.645310230255127
4,5.955499919255575,nan,5.955499919255575
5,5.204878508249919,nan,5.204878508249919
6,4.870799763997395,nan,4.870799763997395
7,4.55056007305781,nan,4.55056007305781
8,5.717744396527611,nan,5.717744396527611
9,5.173988420168561,nan,5.173988420168561
10,4.685762233734131,nan,4.685762233734131
11,4.465059471130373,nan,4.465059471130373
12,5.757830182711283,nan,5.757830182711283
13,5.0829845205942785,nan,5.0829845205942785
14,4.7083115983009325,nan,4.7083115983009325
15,4.526771408716837,nan,4.526771408716837
16,5.849923451741538,nan,5.849923451741538
17,5.018066622416179,nan,5.018066622416179
18,4.763056724866233,nan,4.763056724866233
19,4.444531087875363,nan,4.444531087875363
20,5.849387524922692,nan,5.849387524922692
21,5.004478066762289,nan,5.004478066762289
22,4.665461994806923,nan,4.665461994806923
23,4.398725763956707,nan,4.398725763956707
24,5.797316139539081,nan,5.797316139539081
25,5.046263278325399,nan,5.046263278325399
26,4.667632299264271,nan,4.667632299264271
27,4.392341923713683,nan,4.392341923713683
28,5.906527023315431,nan,5.906527023315431
29,5.050927743911744,nan,5.050927743911744
30,4.673569143613178,nan,4.673569143613178
31,4.4298726495107035,nan,4.4298726495107035
32,5.911663209597269,nan,5.911663209597269
33,5.082511873245238,nan,5.082511873245238
34,4.862978458404542,nan,4.862978458404542
35,4.515723403294884,nan,4.515723403294884
36,6.03787847995758,nan,6.03787847995758
37,5.1740463081995625,nan,5.1740463081995625
38,4.884336683750151,nan,4.884336683750151
39,4.689790867169701,nan,4.689790867169701
40,6.245081020991007,nan,6.245081020991007
41,5.265243668556215,nan,5.265243668556215
42,4.829340976079305,nan,4.829340976079305
43,4.5011615228652975,nan,4.5011615228652975
