,airplane,apple,backpack,banana,baseball bat,baseball glove,bear,bed,bench,bicycle,bird,boat,book,bottle,bowl,broccoli,bus,cake,car,carrot,cat,cell phone,chair,clock,couch,cow,cup,dining table,dog,donut,elephant,fire hydrant,fork,frisbee,giraffe,hair drier,handbag,horse,hot dog,keyboard,kite,knife,laptop,microwave,motorcycle,mouse,orange,oven,parking meter,person,pizza,potted plant,refrigerator,remote,sandwich,scissors,sheep,sink,skateboard,skis,snowboard,spoon,sports ball,stop sign,suitcase,surfboard,teddy bear,tennis racket,tie,toaster,toilet,toothbrush,traffic light,train,truck,tv,umbrella,vase,wine glass,zebra
airplane,0,0.0,0.02050824788230049,0.0,0.0,0.0,0.0,0.00044583147570218456,0.008916629514043692,0.006687472135532769,0.0,0.0,0.0008916629514043691,0.003120820329915292,0.0013374944271065537,0.0,0.0231832367365136,0.0,0.1212661613909942,0.0,0.0013374944271065537,0.0017833259028087382,0.015158270173874276,0.0035666518056174765,0.0,0.0,0.002229157378510923,0.003120820329915292,0.002229157378510923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02808738296923763,0.0,0.0,0.0,0.0,0.0013374944271065537,0.0,0.0,0.004458314757021846,0.0,0.0,0.0,0.0,0.3481943825234062,0.0,0.002229157378510923,0.0,0.0,0.0,0.0,0.0,0.00044583147570218456,0.0,0.0,0.0,0.0,0.00044583147570218456,0.0,0.0,0.0013374944271065537,0.0,0.0008916629514043691,0.016941596076683014,0.0,0.0,0.0,0.007579135086937138,0.0013374944271065537,0.20820329915292018,0.002229157378510923,0.0026749888542131075,0.0,0.0,0.0
apple,0.0,0,0.017079419299743808,0.32450896669513235,0.0008539709649871904,0.0008539709649871904,0.0,0.009393680614859094,0.011101622544833475,0.009393680614859094,0.033304867634500426,0.013663535439795047,0.04782237403928266,0.15798462852263023,0.3287788215200683,0.06831767719897523,0.004269854824935952,0.034158838599487616,0.018787361229718188,0.08795900939368062,0.01964133219470538,0.013663535439795047,0.13151152860802734,0.033304867634500426,0.037574722459436376,0.0034158838599487617,0.14090520922288644,0.2766865926558497,0.015371477369769428,0.0,0.004269854824935952,0.0008539709649871904,0.06063193851409052,0.0,0.0,0.0,0.05123825789923143,0.0017079419299743809,0.0,0.009393680614859094,0.0017079419299743809,0.12382578992314261,0.02391118701964133,0.0,0.006831767719897523,0.008539709649871904,0.40649017933390263,0.0623398804440649,0.0,0.322801024765158,0.005977796754910333,0.05465414175918019,0.06746370623398805,0.005123825789923143,0.04184457728437233,0.0,0.0,0.059777967549103334,0.0,0.0,0.0,0.09052092228864218,0.0017079419299743809,0.0,0.0025619128949615714,0.0,0.006831767719897523,0.0,0.008539709649871904,0.0,0.0008539709649871904,0.0,0.0008539709649871904,0.0017079419299743809,0.014517506404782237,0.027327070879590094,0.015371477369769428,0.04184457728437233,0.03842869342442357,0.0
backpack,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07262996941896024,0.017074413863404688,0.0,0.0,0.0,0.1875637104994903,0.0,0.0,0.0,0.12512742099898064,0.0,0.0,0.0,0.053007135575942915,0.052242609582059125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30759429153924567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9153924566768603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764525993883792,0.0,0.0,0.0,0.0,0.0
banana,0.0,0.0,0.018541409147095178,0,0.0,0.0,0.0,0.007416563658838072,0.012978986402966625,0.02657601977750309,0.00865265760197775,0.010506798516687269,0.038318912237330034,0.13164400494437578,0.22064276885043263,0.0,0.004326328800988875,0.03646477132262052,0.03337453646477132,0.0,0.012978986402966625,0.011742892459826947,0.10197775030902348,0.013597033374536464,0.019777503090234856,0.0,0.12484548825710753,0.20704573547589616,0.00865265760197775,0.0,0.0,0.0,0.037082818294190356,0.0,0.0,0.0,0.048207663782447466,0.0012360939431396785,0.0,0.0,0.0006180469715698393,0.07107540173053152,0.013597033374536464,0.0,0.018541409147095178,0.0,0.0,0.048207663782447466,0.0,0.41285537700865266,0.005562422744128554,0.03584672435105068,0.050061804697156986,0.0030902348578491965,0.02904820766378245,0.0,0.0,0.04511742892459827,0.0,0.0006180469715698393,0.0,0.06798516687268233,0.0006180469715698393,0.0,0.0012360939431396785,0.0012360939431396785,0.0,0.0,0.006180469715698393,0.0,0.0006180469715698393,0.0,0.001854140914709518,0.0012360939431396785,0.019777503090234856,0.014215080346106305,0.027194066749072928,0.023485784919653894,0.019159456118665017,0.0
baseball bat,0.0011086474501108647,0.0,0.02771618625277162,0.0,0,0.6557649667405765,0.0,0.0,0.17849223946784923,0.008869179600886918,0.0005543237250554324,0.002771618625277162,0.004988913525498891,0.03159645232815964,0.0022172949002217295,0.0,0.0005543237250554324,0.0011086474501108647,0.05266075388026607,0.0,0.0011086474501108647,0.009977827050997782,0.1491130820399113,0.0022172949002217295,0.0011086474501108647,0.0,0.020509977827051,0.0011086474501108647,0.004988913525498891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013303769401330377,0.0,0.0,0.0,0.0,0.0005543237250554324,0.0,0.0,0.0005543237250554324,0.0,0.0,0.0005543237250554324,0.0,0.9878048780487805,0.0,0.0011086474501108647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37472283813747226,0.0,0.0,0.0,0.0,0.0011086474501108647,0.012195121951219513,0.0,0.0,0.0,0.0005543237250554324,0.0,0.01385809312638581,0.002771618625277162,0.0066518847006651885,0.0,0.0,0.0
baseball glove,0.0010615711252653928,0.0,0.020169851380042462,0.0,0.0,0,0.0,0.0,0.1459660297239915,0.00583864118895966,0.0010615711252653928,0.0005307855626326964,0.0021231422505307855,0.02388535031847134,0.0,0.0,0.0015923566878980893,0.0015923566878980893,0.05360934182590234,0.0,0.0005307855626326964,0.006369426751592357,0.13428874734607218,0.0015923566878980893,0.0005307855626326964,0.0,0.01751592356687898,0.0015923566878980893,0.0037154989384288748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009023354564755838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899150743099787,0.0005307855626326964,0.0010615711252653928,0.0,0.0,0.0,0.0,0.0,0.0,0.0010615711252653928,0.0010615711252653928,0.0,0.0,0.43842887473460723,0.0,0.0,0.0,0.0,0.0005307855626326964,0.010084925690021231,0.0,0.0,0.0,0.0015923566878980893,0.0,0.01167728237791932,0.002653927813163482,0.004777070063694267,0.0,0.0,0.0
bear,0.0,0.0014970059880239522,0.005988023952095809,0.0014970059880239522,0.0,0.0,0,0.0,0.011976047904191617,0.0014970059880239522,0.02245508982035928,0.0029940119760479044,0.010479041916167664,0.0029940119760479044,0.0074850299401197605,0.0,0.004491017964071856,0.0014970059880239522,0.010479041916167664,0.020958083832335328,0.004491017964071856,0.0014970059880239522,0.017964071856287425,0.004491017964071856,0.005988023952095809,0.0,0.005988023952095809,0.008982035928143712,0.0074850299401197605,0.0,0.005988023952095809,0.0,0.0014970059880239522,0.0014970059880239522,0.004491017964071856,0.0,0.0074850299401197605,0.0,0.0,0.0014970059880239522,0.0,0.0014970059880239522,0.0,0.0014970059880239522,0.0,0.0014970059880239522,0.0014970059880239522,0.0,0.0,0.09281437125748503,0.0,0.0074850299401197605,0.0029940119760479044,0.0014970059880239522,0.0,0.0,0.0014970059880239522,0.0,0.0014970059880239522,0.0,0.0,0.0,0.01347305389221557,0.0,0.0014970059880239522,0.0,0.014970059880239521,0.0,0.0014970059880239522,0.0,0.0,0.0,0.0,0.0,0.008982035928143712,0.0029940119760479044,0.0029940119760479044,0.004491017964071856,0.0014970059880239522,0.004491017964071856
bed,0.0,0.0,0.04096100827097282,0.0,0.0,0.0,0.0,0,0.009452540370224497,0.0,0.0,0.0,0.20480504135486413,0.07443875541551792,0.020874359984245767,0.0,0.0,0.0,0.005907837731390311,0.0,0.14887751083103584,0.04726270185112249,0.22174084285151635,0.059472233162662466,0.09216226860968886,0.0,0.06025994486018117,0.04450571090980701,0.09767625049231982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04214257581725089,0.0,0.0,0.0,0.0,0.0027569909413154787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35131941709334386,0.0,0.04883812524615991,0.0,0.0,0.0,0.0,0.0,0.01929893658920835,0.0,0.0,0.0,0.0,0.0035447026388341868,0.0,0.0,0.0,0.0,0.0,0.01339109885781804,0.0,0.0,0.0,0.00039385584875935406,0.0,0.0015754233950374162,0.10949192595510043,0.008270972823946435,0.0,0.0,0.0
bench,0.0,0.0,0.10119667013527575,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.05593132154006244,0.022112382934443287,0.0,0.0,0.0,0.14724245577523412,0.0,0.0,0.0,0.12721123829344433,0.0,0.0,0.0,0.04994797086368366,0.07674297606659729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14776274713839752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7468782518210197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.20507214691735898,0.0,0.0,0.0,0.0,0.004809794490599038,0.10013117621337997,0,0.0,0.0,0.020550940096195888,0.048535198950590296,0.016178399650196764,0.0,0.13379973764757325,0.0,0.3865325754263227,0.0,0.017052907739396588,0.05859204197638828,0.07039790118058592,0.024486226497595104,0.010494097070397902,0.0,0.03235679930039353,0.040664626147791864,0.04285089637079143,0.0,0.0,0.0,0.005684302579798863,0.0,0.0,0.0,0.2090074333187582,0.0,0.0,0.0,0.0,0.007870572802798426,0.009182334936598164,0.0,0.1390467861827722,0.0,0.0,0.0,0.0,0.8264101442938347,0.0,0.043288150415391344,0.0,0.0,0.0,0.0,0.0,0.0034980323567993005,0.07608220376038478,0.0,0.0,0.004372540445999125,0.012680367293397464,0.0,0.0,0.013117621337997376,0.0,0.0034980323567993005,0.02579798863139484,0.0,0.0008745080891998251,0.0,0.1425448185395715,0.031045037166593792,0.1359860078705728,0.01355487538259729,0.09707039790118059,0.004809794490599038,0.0,0.0
