epoch,mAP,train_loss
0,10.594977378845215,7.839071486121732
1,13.304850578308105,4.378043706793533
2,15.877869606018066,4.103974586286043
3,18.586435317993164,3.942228446006775
4,25.44620704650879,3.882744598137707
5,27.635562896728516,3.669839071976513
6,29.04081916809082,3.6237266583191734
7,26.52996253967285,3.701530753436842
8,26.452774047851562,3.8213867177461314
9,29.648601531982422,3.6208426636143725
10,32.04496765136719,3.5531045401723746
11,30.970460891723633,3.55426050060674
12,27.070510864257812,3.7591849470138547
13,31.341663360595703,3.554350604258084
14,33.06732177734375,3.4788331831128985
15,38.42557907104492,3.3871126548867463
16,29.369977951049805,3.6986223860790863
17,32.342830657958984,3.461016602265207
18,37.36568832397461,3.347064897637618
19,39.70928955078125,3.272159937808388
20,31.690948486328125,3.6051215638612457
21,37.677974700927734,3.3405166646053908
22,40.00648880004883,3.2869909933993706
23,45.17839431762695,3.1651879555300657
24,34.74312973022461,3.5876619355302135
25,38.56159591674805,3.3128582138764227
26,41.57997512817383,3.15075423541822
27,44.479339599609375,3.0416482186317473
28,35.05059814453125,3.517928424885398
29,38.339839935302734,3.294453707996167
30,47.7994270324707,3.1564731462378264
31,49.43198013305664,3.0706632787302928
32,36.54616928100586,3.5737805622502403
33,41.40637969970703,3.3109183974015095
34,42.6413459777832,3.229433117163808
35,45.518638610839844,3.185102026086105
36,39.399085998535156,3.92410116170582
37,38.58330535888672,3.472647260866666
38,39.83530044555664,3.4025989243858734
39,36.851646423339844,3.4527026231665365
